label,status,start_year,end_year,start_decade,country,types,alt_labels,wikidata_id,wikidata_url,official_website,commons_logo_filename,commons_logo_file_page,commons_logo_download_url,logo_thumb_url
Holden,defunct,1856,2021,1850s,Australia,automobile manufacturer,GM Holden Ltd (Holden);General Motors-Holden's Ltd;Holden Ltd,Q29281,http://www.wikidata.org/entity/Q29281,https://www.holden.com.au/,Holden text logo.png,https://commons.wikimedia.org/wiki/File:Holden_text_logo.png,https://commons.wikimedia.org/wiki/Special:FilePath/Holden_text_logo.png,https://commons.wikimedia.org/wiki/Special:FilePath/Holden_text_logo.png?width=128
Ley vehicles,defunct,1856,1947,1850s,Germany,automobile manufacturer,,Q1458793,http://www.wikidata.org/entity/Q1458793,,,,,
McFarlan Automobile,defunct,1856,1928,1850s,United States,automobile manufacturer,,Q6801133,http://www.wikidata.org/entity/Q6801133,,1910 McFarlan Logo from brochure.jpg,https://commons.wikimedia.org/wiki/File:1910_McFarlan_Logo_from_brochure.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/1910_McFarlan_Logo_from_brochure.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/1910_McFarlan_Logo_from_brochure.jpg?width=128
Millot,defunct,1856,1990,1850s,France,automobile manufacturer,,Q1935604,http://www.wikidata.org/entity/Q1935604,,,,,
Q57539802,defunct,1856,1930,1850s,,automobile manufacturer,,Q57539802,http://www.wikidata.org/entity/Q57539802,,,,,
Simson,defunct,1856,2003,1850s,Germany,automobile manufacturer;motorcycle manufacturer,,Q481622,http://www.wikidata.org/entity/Q481622,,Simson.Emblem.Motorrad.DDR.jpg,https://commons.wikimedia.org/wiki/File:Simson.Emblem.Motorrad.DDR.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Simson.Emblem.Motorrad.DDR.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Simson.Emblem.Motorrad.DDR.jpg?width=128
Bayer Brothers Carriage Works,active,1857,,1850s,,automobile manufacturer,,Q41436222,http://www.wikidata.org/entity/Q41436222,,,,,
Q42308416,defunct,1857,1979,1850s,,automobile manufacturer,,Q42308416,http://www.wikidata.org/entity/Q42308416,,,,,
Vauxhall,active,1857,,1850s,United Kingdom,automobile manufacturer,General Motors UK Limited;Vauxhall Motors;GMUK,Q59187,http://www.wikidata.org/entity/Q59187,https://www.vauxhall.co.uk/,Vauxhall lichtreclame.JPG,https://commons.wikimedia.org/wiki/File:Vauxhall_lichtreclame.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Vauxhall_lichtreclame.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Vauxhall_lichtreclame.JPG?width=128
Wagenfabrik Jos. Neuss,defunct,1857,1933,1850s,Germany,automobile manufacturer,Jos Neuss,Q2539060,http://www.wikidata.org/entity/Q2539060,,,,,
Linser,defunct,1858,1934,1850s,,automobile manufacturer,,Q2170781,http://www.wikidata.org/entity/Q2170781,,,,,
Stoewer,defunct,1858,1945,1850s,German Reich,automobile manufacturer;motorcycle manufacturer,Stower,Q656548,http://www.wikidata.org/entity/Q656548,http://www.stoewer-museum.de/,Emblem Stoewer.JPG,https://commons.wikimedia.org/wiki/File:Emblem_Stoewer.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Emblem_Stoewer.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Emblem_Stoewer.JPG?width=128
Q16583618,defunct,1859,1947,1850s,Italy,automobile manufacturer,,Q16583618,http://www.wikidata.org/entity/Q16583618,,,,,
Durkopp Adler,defunct,1860,1990,1860s,Germany,automobile manufacturer;motorcycle manufacturer,,Q879289,http://www.wikidata.org/entity/Q879289,https://www.duerkopp-adler.com,Dürkopp-Adler AG-Logo.svg,https://commons.wikimedia.org/wiki/File:D%C3%BCrkopp-Adler_AG-Logo.svg,https://commons.wikimedia.org/wiki/Special:FilePath/D%C3%BCrkopp-Adler_AG-Logo.svg,https://commons.wikimedia.org/wiki/Special:FilePath/D%C3%BCrkopp-Adler_AG-Logo.svg?width=128
Q58158864,active,1860,,1860s,,automobile manufacturer,,Q58158864,http://www.wikidata.org/entity/Q58158864,,,,,
Opel,active,1862,,1860s,Germany,automobile manufacturer,Opel Automobile GmbH,Q40966,http://www.wikidata.org/entity/Q40966,https://www.opel.com/,Opel logo 2023.svg,https://commons.wikimedia.org/wiki/File:Opel_logo_2023.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Opel_logo_2023.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Opel_logo_2023.svg?width=128
Q41437107,defunct,1862,1899,1860s,,automobile manufacturer,,Q41437107,http://www.wikidata.org/entity/Q41437107,,,,,
Q1276345,defunct,1863,1976,1860s,,automobile manufacturer,,Q1276345,http://www.wikidata.org/entity/Q1276345,,,,,
Q47542746,defunct,1863,1906,1860s,,automobile manufacturer,,Q47542746,http://www.wikidata.org/entity/Q47542746,,,,,
ZAZ,active,1863,,1860s,Ukraine,automobile manufacturer,"Zaporizhzhia Automobile building plant;Zaporozhsky Avtomobilny Zavod ""Kommunar"";Proizvodstvennoe Obiedinenie ""AvtoZAZ""",Q71233,http://www.wikidata.org/entity/Q71233,http://epc.avtozaz.com/,Zaz-logo.svg,https://commons.wikimedia.org/wiki/File:Zaz-logo.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Zaz-logo.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Zaz-logo.svg?width=128
Steyr-Daimler-Puch,defunct,1864,2001,1860s,Austria,automobile manufacturer,Steyr Bus GmbH,Q694450,http://www.wikidata.org/entity/Q694450,,Logo STEYR-PUCH.JPG,https://commons.wikimedia.org/wiki/File:Logo_STEYR-PUCH.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Logo_STEYR-PUCH.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Logo_STEYR-PUCH.JPG?width=128
Deal,defunct,1865,1915,1860s,United States,automobile manufacturer,,Q5245836,http://www.wikidata.org/entity/Q5245836,,,,,
Pierce-Arrow,defunct,1865,1938,1860s,United States,automobile manufacturer,,Q40978,http://www.wikidata.org/entity/Q40978,,Pierce-arrow 1906.jpg,https://commons.wikimedia.org/wiki/File:Pierce-arrow_1906.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Pierce-arrow_1906.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Pierce-arrow_1906.jpg?width=128
C.D. Magirus AG,defunct,1866,1936,1860s,German Reich,automobile manufacturer,Magirus AG;C.D. Magirus AG,Q545107,http://www.wikidata.org/entity/Q545107,,,,,
Pieper,active,1866,,1860s,,automobile manufacturer;motorcycle manufacturer,,Q288737,http://www.wikidata.org/entity/Q288737,,,,,
Mieusset vehicles,defunct,1867,1929,1860s,,automobile manufacturer,,Q1932352,http://www.wikidata.org/entity/Q1932352,,Mieusset 1916 Musée Henri Malartre-3337.jpg,https://commons.wikimedia.org/wiki/File:Mieusset_1916_Mus%C3%A9e_Henri_Malartre-3337.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Mieusset_1916_Mus%C3%A9e_Henri_Malartre-3337.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Mieusset_1916_Mus%C3%A9e_Henri_Malartre-3337.jpg?width=128
Guerry et Bourguignon,active,1868,,1860s,,automobile manufacturer,,Q44846,http://www.wikidata.org/entity/Q44846,,,,,
Nova Scotia Carriage and Motor Car Company,active,1868,,1860s,,automobile manufacturer,,Q108809663,http://www.wikidata.org/entity/Q108809663,,,,,
Q787786,defunct,1868,1911,1860s,German Reich,automobile manufacturer,,Q787786,http://www.wikidata.org/entity/Q787786,,,,,
Burgers-Eerste Nederlandsche Rijwielfabriek,defunct,1869,1961,1860s,Netherlands,automobile manufacturer;motorcycle manufacturer,E.N.R. BURGERS,Q1014902,http://www.wikidata.org/entity/Q1014902,,,,,
Maschinen- und Waggonbau-Fabriks-Aktiengesellschaft in Simmering,defunct,1869,1941,1860s,Austria,automobile manufacturer,Simmeringer Waggonfabrik,Q15834303,http://www.wikidata.org/entity/Q15834303,,,,,
Paterson,active,1869,,1860s,United States,automobile manufacturer,,Q7144577,http://www.wikidata.org/entity/Q7144577,,Emblem Paterson.JPG,https://commons.wikimedia.org/wiki/File:Emblem_Paterson.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Emblem_Paterson.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Emblem_Paterson.JPG?width=128
Agrati,defunct,1870,1961,1870s,Italy,automobile manufacturer;motorcycle manufacturer,,Q396407,http://www.wikidata.org/entity/Q396407,,,,,
Bory,defunct,1870,1910,1870s,Austria,automobile manufacturer,,Q894300,http://www.wikidata.org/entity/Q894300,,,,,
Podeus,defunct,1870,1924,1870s,,automobile manufacturer,,Q871391,http://www.wikidata.org/entity/Q871391,,,,,
Vanden Plas,defunct,1870,1991,1870s,,automobile manufacturer,,Q1563878,http://www.wikidata.org/entity/Q1563878,,,,,
Brennabor,defunct,1871,1945,1870s,Germany,automobile manufacturer;motorcycle manufacturer,,Q320140,http://www.wikidata.org/entity/Q320140,,Emblem Brennabor.JPG,https://commons.wikimedia.org/wiki/File:Emblem_Brennabor.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Emblem_Brennabor.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Emblem_Brennabor.JPG?width=128
Erste Oeynhauser Krankenfahrzeug-Fabrik H. W. Voltmann,defunct,1871,1985,1870s,Germany,automobile manufacturer;motorcycle manufacturer,Westfalia,Q1701380,http://www.wikidata.org/entity/Q1701380,,,,,
Hanomag,defunct,1871,1984,1870s,Germany,automobile manufacturer,,Q29041,http://www.wikidata.org/entity/Q29041,http://www.komatsu-kohag.com,Rheinstahl-Hanomag Logo.png,https://commons.wikimedia.org/wiki/File:Rheinstahl-Hanomag_Logo.png,https://commons.wikimedia.org/wiki/Special:FilePath/Rheinstahl-Hanomag_Logo.png,https://commons.wikimedia.org/wiki/Special:FilePath/Rheinstahl-Hanomag_Logo.png?width=128
Q1734293,active,1871,,1870s,Germany,automobile manufacturer,,Q1734293,http://www.wikidata.org/entity/Q1734293,,,,,
Q47542767,defunct,1871,1964,1870s,,automobile manufacturer,,Q47542767,http://www.wikidata.org/entity/Q47542767,,,,,
Q863779,active,1871,,1870s,,automobile manufacturer,,Q863779,http://www.wikidata.org/entity/Q863779,,,,,
Armstrong Manufacturing Co.,active,1872,,1870s,,automobile manufacturer,,Q41433751,http://www.wikidata.org/entity/Q41433751,,,,,
Q53195670,active,1872,,1870s,,automobile manufacturer,,Q53195670,http://www.wikidata.org/entity/Q53195670,,,,,
Mars,defunct,1873,1958,1870s,Germany,automobile manufacturer;motorcycle manufacturer,,Q471452,http://www.wikidata.org/entity/Q471452,,Emblem Mars.JPG,https://commons.wikimedia.org/wiki/File:Emblem_Mars.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Emblem_Mars.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Emblem_Mars.JPG?width=128
NSU Motorenwerke,defunct,1873,1969,1870s,Germany,automobile manufacturer;motorcycle manufacturer,NSU Motorenwerke AG;NSU,Q39898,http://www.wikidata.org/entity/Q39898,,NSU 1960 Logo.svg,https://commons.wikimedia.org/wiki/File:NSU_1960_Logo.svg,https://commons.wikimedia.org/wiki/Special:FilePath/NSU_1960_Logo.svg,https://commons.wikimedia.org/wiki/Special:FilePath/NSU_1960_Logo.svg?width=128
Nymanbolagen,active,1873,,1870s,Sweden,automobile manufacturer;motorcycle manufacturer,,Q2763429,http://www.wikidata.org/entity/Q2763429,,,,,
Q1321440,active,1873,,1870s,,automobile manufacturer,,Q1321440,http://www.wikidata.org/entity/Q1321440,http://www.vdlkonings.com,,,,
Adolf Bleichert & Co.,defunct,1874,1932,1870s,Germany,automobile manufacturer,"Adolf Bleichert & Co., Cable car factory, Leipzig-Gohlis;Bleichert Transport systems",Q328885,http://www.wikidata.org/entity/Q328885,,Bleichert & Co. Firmenlogo.JPG,https://commons.wikimedia.org/wiki/File:Bleichert_%26_Co._Firmenlogo.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Bleichert_%26_Co._Firmenlogo.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Bleichert_%26_Co._Firmenlogo.JPG?width=128
Excelsior Motor Company,defunct,1874,1964,1870s,United Kingdom,automobile manufacturer;motorcycle manufacturer,,Q2175346,http://www.wikidata.org/entity/Q2175346,,Excelsior logo.jpg,https://commons.wikimedia.org/wiki/File:Excelsior_logo.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Excelsior_logo.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Excelsior_logo.jpg?width=128
Göricke vehicles,defunct,1874,1964,1870s,German Reich,automobile manufacturer;motorcycle manufacturer,,Q879374,http://www.wikidata.org/entity/Q879374,http://www.goericke.eu,,,,
Prinetti & Stucchi,defunct,1874,1926,1870s,Italy,automobile manufacturer;motorcycle manufacturer,,Q1129734,http://www.wikidata.org/entity/Q1129734,,,,,
Q52656520,defunct,1874,1958,1870s,,automobile manufacturer,,Q52656520,http://www.wikidata.org/entity/Q52656520,,,,,
Columbus Buggy Company,defunct,1875,1915,1870s,United States,automobile manufacturer,,Q30594804,http://www.wikidata.org/entity/Q30594804,,,,,
E.T. Burrowes Co.,active,1875,,1870s,,automobile manufacturer,,Q42308453,http://www.wikidata.org/entity/Q42308453,,,,,
Q1053474,defunct,1875,1910,1870s,,automobile manufacturer,,Q1053474,http://www.wikidata.org/entity/Q1053474,,,,,
Singer Motors,defunct,1875,1970,1870s,United Kingdom,automobile manufacturer;motorcycle manufacturer,Singer (automobile company),Q2001596,http://www.wikidata.org/entity/Q2001596,,Singerlogo.png,https://commons.wikimedia.org/wiki/File:Singerlogo.png,https://commons.wikimedia.org/wiki/Special:FilePath/Singerlogo.png,https://commons.wikimedia.org/wiki/Special:FilePath/Singerlogo.png?width=128
Anker-Werke,defunct,1876,1976,1870s,German Reich,automobile manufacturer;motorcycle manufacturer,,Q556961,http://www.wikidata.org/entity/Q556961,,Anker Logo.svg,https://commons.wikimedia.org/wiki/File:Anker_Logo.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Anker_Logo.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Anker_Logo.svg?width=128
Sablatnig-Beuchelt,defunct,1876,1945,1870s,Germany,automobile manufacturer,,Q850777,http://www.wikidata.org/entity/Q850777,,,,,
Société Parisienne,defunct,1876,1903,1870s,,automobile manufacturer,Societe Parisienne,Q1253995,http://www.wikidata.org/entity/Q1253995,,,,,
Brissonneau et Lotz,defunct,1878,1972,1870s,France,automobile manufacturer,Brissonneau & Lotz;Brissonneau and Lotz,Q282395,http://www.wikidata.org/entity/Q282395,,VFDWiki3a.jpg,https://commons.wikimedia.org/wiki/File:VFDWiki3a.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/VFDWiki3a.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/VFDWiki3a.jpg?width=128
Köng Basel Coachwork,defunct,1878,2002,1870s,,automobile manufacturer,,Q107212292,http://www.wikidata.org/entity/Q107212292,,,,,
The Adams Brothers Company,defunct,1878,1924,1870s,United States,automobile manufacturer,,Q41438738,http://www.wikidata.org/entity/Q41438738,,,,,
Henney Motor Company,active,1879,,1870s,,automobile manufacturer,,Q1605415,http://www.wikidata.org/entity/Q1605415,,,,,
National Sewing Machine Company,defunct,1879,1957,1870s,United States,automobile manufacturer,,Q6978404,http://www.wikidata.org/entity/Q6978404,,,,,
Adler,defunct,1880,1992,1880s,Germany,automobile manufacturer;motorcycle manufacturer,Adler Works formerly known as Heinrich Kleyer;Adlerwerke vorm. H. Kleyer,Q53098,http://www.wikidata.org/entity/Q53098,,ADLER Werke Logo.svg,https://commons.wikimedia.org/wiki/File:ADLER_Werke_Logo.svg,https://commons.wikimedia.org/wiki/Special:FilePath/ADLER_Werke_Logo.svg,https://commons.wikimedia.org/wiki/Special:FilePath/ADLER_Werke_Logo.svg?width=128
De La Vergne,active,1880,,1880s,United States,automobile manufacturer,,Q5244557,http://www.wikidata.org/entity/Q5244557,,,,,
Haden,defunct,1880,2002,1880s,United Kingdom,automobile manufacturer;motorcycle manufacturer,,Q2787483,http://www.wikidata.org/entity/Q2787483,,,,,
